,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,median,median,median,median,median,median,median,median,median,median,median,median,median,std,std,std,std,std,std,std,std,std,std,std,std,std,var,var,var,var,var,var,var,var,var,var,var,var,var,count
,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,Phi0,Phi1,P0,P1,T0,T1,Score,Error,d0L2,d1L2,d0Pe,d1Pe,shift,
ClusterID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.27,0.8866666666666667,1.013,1.013,298.0,298.0,0.9091838476,0.005273238733333334,0.9208009425666667,0.7834350047333333,0.9569661835666666,0.8670709804,0.9634149871333334,0.25,0.57,1.013,1.013,298.0,298.0,0.9038077936,0.0028530099,0.9161835084,0.7433046978,0.9508383356,0.8302823038,0.9293933387,0.3,1.19,1.013,1.013,298.0,298.0,0.9126840577,0.0094440184,0.9279747843,0.8193726164,0.960791663,0.8932650136,0.985475503,0.26,0.9,1.013,1.013,298.0,298.0,0.9110596915,0.0035226879,0.918244535,0.7876277,0.9592685521,0.8776656238,0.9753761197,0.026457513110645915,0.3102149792213995,0.0,0.0,0.0,0.0,0.004726109271495234,0.003627488032624103,0.006297615546590901,0.038206885246423905,0.005361236539303243,0.03280076653094599,0.02989320670906818,0.0007000000000000005,0.09623333333333334,0.0,0.0,0.0,0.0,2.2336108846113215e-05,1.3158669426831086e-05,3.965996157266342e-05,0.001459766080233405,2.874285723036021e-05,0.0010758902850176266,0.0008936038073510789,3
8,0.507,4.3,1.013,1.013,298.0,298.0,0.91786751883,0.0037399191,0.92575986221,0.89457263573,0.9333910079900001,0.81369685249,0.9698923773000001,0.29,2.99,1.013,1.013,298.0,298.0,0.8491215144,0.0019285268,0.8481312472,0.796015872,0.8475711443,0.699926854,0.9515419845,1.0,5.0,1.013,1.013,298.0,298.0,0.9352412792,0.0071679779,0.9635887243,0.9289980628,0.9610620402,0.8654230304,0.9922334541,0.475,4.745,1.013,1.013,298.0,298.0,0.92523760755,0.0031824329,0.92926034945,0.91083623865,0.9476663429500001,0.82536018085,0.9640036924,0.20548317043819753,0.855102333057278,0.0,0.0,0.0,0.0,0.025330450780924132,0.0016494312409912678,0.037281678010299586,0.03948851222231376,0.03276483718915567,0.05583110644942424,0.01612445821403509,0.042223333333333335,0.7312,0.0,0.0,0.0,0.0,0.0006416317367648199,2.7206234187579936e-06,0.001389923515263656,0.0015593425975318233,0.0010735345560318782,0.003117112447366941,0.00025999815269616366,10
9,0.725,1.29375,4.25,4.25,423.5,423.5,0.684315971875,0.00835975005,0.69691680295,0.5946192345,0.796033928275,0.5773903248,0.72046777035,0.7,1.0,1.0,1.0,423.0,423.0,0.5121233748,0.004528615,0.5221044687,0.5094042456,0.7500713798,0.3762272403,0.3196409844,0.8,1.5,10.0,10.0,425.0,425.0,0.8640501882,0.0128060373,0.8204391271,0.6691702487,0.9014241015,0.8565642865,0.9683516827,0.7,1.3375,3.0,3.0,423.0,423.0,0.6805451622500001,0.00805217395,0.722561808,0.59995122185,0.7663201158999999,0.5383848862,0.79693920715,0.05000000000000004,0.21249999999999997,4.272001872658765,4.272001872658765,1.0000000000000047,1.0000000000000047,0.14397379256551063,0.0034239231917501506,0.1263188759587674,0.06647107938096478,0.07097613034112456,0.21399671802592277,0.2802294569235233,0.0025000000000000035,0.04515624999999998,18.25,18.25,1.0000000000000095,1.0000000000000095,0.020728452945696686,1.1723250023004539e-05,0.01595645842348646,0.004418404394070521,0.005037611078200302,0.04579459532586629,0.0785285485276528,4
10,0.797,3.7960000000000003,1.0,1.0,413.0,413.0,0.88647458514,0.00501560712,0.89431133642,0.80246348096,0.90597132436,0.7949442611,0.9605785540399999,0.79,3.0,1.0,1.0,413.0,413.0,0.8575999387,0.003146663,0.8480284412,0.7468398954,0.8583407407,0.7677214959,0.947585238,0.81,4.0,1.0,1.0,413.0,413.0,0.9069783748,0.0085609571,0.9167107897,0.8712856624,0.9346729647,0.8402455952,0.973437749,0.795,4.0,1.0,1.0,413.0,413.0,0.8867349444,0.0045811553,0.9013562564,0.7819742237,0.9075079581,0.7901233877,0.9630253314,0.00836660026534073,0.44506179346243596,0.0,0.0,0.0,0.0,0.020616930537159392,0.0020804602088636825,0.027108457843626796,0.0568350957826479,0.030408696775309118,0.027119309422992302,0.011984609904262564,6.999999999999959e-05,0.19808,0.0,0.0,0.0,0.0,0.00042505782477405543,4.328314680665118e-06,0.0007348684866596912,0.003230228112622761,0.0009246888395726951,0.0007354569435799991,0.00014363087455734837,5
11,98.8,98.8,100.0,100.0,598.0,850.0,0.8583734054666666,0.0021783057666666665,0.9588584798666666,0.9577948347666666,0.6349756188,0.8621999457666667,0.8682057768666667,98.8,98.8,100.0,100.0,598.0,850.0,0.8423283233,0.0004401417,0.9548082086,0.9386196706,0.531952424,0.8202269589,0.8488125,98.8,98.8,100.0,100.0,598.0,850.0,0.8709047268,0.0054494205,0.9641482713,0.9726421383,0.7525438033,0.9309646368,0.8969375,98.8,98.8,100.0,100.0,598.0,850.0,0.8618871663,0.0006453551,0.9576189597,0.9621226954,0.6204306291,0.8354082416,0.8588673306,0.0,0.0,0.0,0.0,0.0,0.0,0.014608647974542468,0.0028347260597556324,0.004791815991110539,0.017419238225179486,0.11101264207016674,0.06003378120514043,0.02538520908435791,0.0,0.0,0.0,0.0,0.0,0.0,0.00021341259564410374,8.035671833857693e-06,2.2961500492662674e-05,0.00030342986034555416,0.012323806699398953,0.003604054885786672,0.0006444088402565673,3
12,95.5,95.5,50.0,50.0,600.0,898.0,0.8361596708428571,0.003396458257142857,0.9143166302285713,0.9198049345571429,0.8283364819857143,0.6713416733428571,0.8415791525285714,95.5,95.5,50.0,50.0,600.0,898.0,0.7877319424,0.0010193282,0.6845221575,0.7600154264,0.5673549235,0.4962720716,0.7475038882,95.5,95.5,50.0,50.0,600.0,898.0,0.9206664276,0.0080783161,0.986607152,0.971155659,0.9320128166,0.785581658,0.9749031966,95.5,95.5,50.0,50.0,600.0,898.0,0.7973076585,0.0019486702,0.9577083645,0.9612038355,0.8786591151,0.7350626812,0.8311875,0.0,0.0,0.0,0.0,0.0,0.0,0.05666622869624879,0.0028374679166425967,0.10879986121674429,0.07758700648256203,0.12916774980069143,0.11554194821280746,0.08353631918219717,0.0,0.0,0.0,0.0,0.0,0.0,0.0032110614746555695,8.051224177976077e-06,0.011837409800782817,0.006019743574925122,0.016684307588574022,0.01334994179681108,0.006978316622509923,7
13,0.042,0.042,50.0,50.0,648.0,898.0,0.9075657486,0.00285910905,0.9851778171000001,0.9757689647000001,0.9184611046,0.7661993596500001,0.89989362285,0.042,0.042,50.0,50.0,648.0,898.0,0.7819231392,0.0011463736,0.9773808489,0.9670952282,0.7715516852,0.4968219778,0.7375,0.042,0.042,50.0,50.0,648.0,898.0,0.9610718389,0.0073924327,0.9965388439,0.9905449897,0.9693146903,0.881886234,0.9790625,0.042,0.042,50.0,50.0,648.0,898.0,0.9436340081500001,0.00144881495,0.9833957878,0.97271782045,0.9664890214499999,0.8430446134,0.9415059957,0.0,0.0,0.0,0.0,0.0,0.0,0.08425243521291455,0.0030264826979769085,0.008307346082786559,0.010202346569733262,0.09795840584204064,0.1805500991992321,0.10980958545751134,0.0,0.0,0.0,0.0,0.0,0.0,0.007098472839306363,9.159597521153588e-06,6.901199893918917e-05,0.00010408787552894806,0.009595849275113944,0.03259833832085255,0.012058145058350485,4
14,0.5,0.5,6.08,6.08,560.0,1030.0,0.8950359695076924,0.0015114441461538462,0.9867514965153846,0.9805662643538462,0.8576917647846154,0.7109985788846154,0.9171038562692307,0.5,0.5,6.08,6.08,560.0,1030.0,0.7983030944,0.0001849849,0.9668780767,0.9424191463,0.6140396088,0.4567247642,0.6500394795,0.5,0.5,6.08,6.08,560.0,1030.0,0.9615434196,0.0123637016,0.997657244,0.9945713356,0.9638319932,0.9226366655,0.9900568959,0.5,0.5,6.08,6.08,560.0,1030.0,0.9166123106,0.0005161695,0.992404319,0.9838120608,0.8885090038,0.7306916595,0.9526849469,0.0,0.0,0.0,0.0,0.0,0.0,0.0536910684379777,0.0032793704426497985,0.010116950941002614,0.013008326774171167,0.09467644144130725,0.12292719582643653,0.09882767394299631,0.0,0.0,0.0,0.0,0.0,0.0,0.0028827308300116046,1.0754270500125135e-05,0.00010235269634265368,0.00016921656546361842,0.008963628563989282,0.015111095473751076,0.009766909136983193,13
15,1.0,1.0,6.08,6.08,560.0,1030.0,0.9024599556307693,0.0010625174076923077,0.9846589128538461,0.9817430587769231,0.8746080067,0.7163008600846154,0.9287244476692307,1.0,1.0,6.08,6.08,560.0,1030.0,0.7326276879,0.0004576079,0.9657523821,0.9726206338,0.682147168,0.4546994907,0.6551968085,1.0,1.0,6.08,6.08,560.0,1030.0,0.9609340261,0.0030789489,0.9967370926,0.9924202674,0.9714971709,0.8969373592,0.9745864362,1.0,1.0,6.08,6.08,560.0,1030.0,0.9191900451,0.000792404,0.9866693303,0.9810689439,0.8998330008,0.7901766512,0.9524618489,0.0,0.0,0.0,0.0,0.0,0.0,0.06344433176363833,0.0007609379067938192,0.010329366092961053,0.006095668155091018,0.0989919760951546,0.16955264805671505,0.08493157447572348,0.0,0.0,0.0,0.0,0.0,0.0,0.004025183232934606,5.790264979957592e-07,0.00010669580388241351,3.715717025699074e-05,0.009799411331223659,0.028748100463044282,0.007213372342925365,13
16,0.042,0.042,100.0,100.0,647.0,899.0,0.8751491907,0.00096534815,0.979637460575,0.975159937775,0.9320753237,0.830951232875,0.766535594675,0.042,0.042,100.0,100.0,647.0,899.0,0.7163594638,0.0006251417,0.9541629758,0.9588748918,0.8842673276,0.7564443601,0.2829435769,0.042,0.042,100.0,100.0,647.0,899.0,0.9390689331,0.001402462,0.9963470498,0.9873896084,0.9721351765,0.889023695,0.9430126122,0.042,0.042,100.0,100.0,647.0,899.0,0.92258418295,0.0009168944500000001,0.98401990835,0.97718762545,0.93594939535,0.8391684382,0.9200930947999999,0.0,0.0,0.0,0.0,0.0,0.0,0.10666272959750123,0.0003444813531109291,0.017950080542205395,0.012031970125957749,0.045140457471545346,0.055394305372263544,0.32260646484797545,0.0,0.0,0.0,0.0,0.0,0.0,0.011376937885189663,1.1866740264113664e-07,0.0003222053914716607,0.00014476830511193974,0.0020376609007403943,0.0030685290676755856,0.104074931161708,4
